query_id,answer
106,4219 2646 2962 2831 4214 4361 2865 2521 4400 4532
107,1918 1909 4322 4400 3419 2521 1837 3843 4399 2802
108,2698 4308 4219 4234 4214 2646 4367 4431 4433 3400
109,2646 4361 4234 4219 4384 2698 4313 3470 4214 4308
110,2646 4219 2191 4308 2698 2962 4214 4408 4502 4234
111,4219 2646 4308 4331 4361 4233 2865 4447 4322 4312
112,4406 2696 3470 4389 2203 2865 3078 1966 2831 4219
113,2696 4408 4153 4050 4234 1960 4045 2943 4446 4214
114,4214 2696 4400 4395 2962 4219 4389 3026 2865 4234
115,4454 1842 4523 4424 4395 4108 2949 4526 4329 4331
116,4219 4308 2646 4396 3149 2962 4532 4400 4205 4361
117,4286 4308 4234 1909 2248 1901 1918 4396 4328 4354
118,3078 4440 4384 4219 4361 3843 2521 2646 1966 4313
119,4219 2646 3470 4384 3078 4313 4234 4308 4214 1966
120,4406 4219 3470 2943 2646 4384 4440 4361 4401 2037
121,4440 4219 4361 4400 3078 4387 2521 2943 4384 2865
122,4451 4214 4366 3478 2698 4408 4440 2964 2213 3774
123,4400 4361 1966 2696 4219 4403 2646 2865 4234 4308
124,1909 1918 4400 4396 4286 4387 2511 4408 4234 4308
125,4440 4219 4389 2943 4387 2521 2663 2646 4361 2794
126,4045 4445 4153 4361 4050 1907 4385 4227 4218 4453
127,4361 4219 4384 2646 3470 4234 4308 4400 4204 2037
128,2865 1966 4400 4403 2696 2866 3470 4219 4532 3078
129,4408 2962 4308 4286 4234 4361 3400 1960 4431 4423
130,4361 4308 4219 2696 4400 4214 2698 2646 1951 4234
131,2696 2288 4440 2220 2886 2895 2894 4202 4371 4008
132,4292 4411 4251 4274 4252 4404 4396 2890 3130 2255
133,4308 4361 2698 4331 4366 4234 4403 4214 4400 4387
134,4329 4328 4234 4050 2918 3626 4362 4367 4530 4243
135,4387 2696 4400 4219 4532 2521 4234 4285 4361 2831
136,1966 3470 2696 2866 2865 4400 4219 3078 4403 4406
137,4219 2646 4234 4408 4308 2214 3169 3750 4292 4396
138,3261 2060 4411 4419 2062 4109 2857 4110 3151 4404
139,4308 2646 4219 4396 1901 2943 2698 4400 4532 4361
140,4214 4395 3026 4424 2944 4440 4389 2408 2696 4219
141,4308 4387 1909 4234 4302 4409 4334 2219 1882 4290
142,2865 4219 2646 4532 4400 4361 4387 2696 2521 1958
143,4308 4361 4387 4320 4234 4204 4400 2962 4219 4301
144,4219 4308 4389 4361 2646 2943 4234 4286 4396 4384
145,1901 4286 4362 1909 1918 2698 2408 4308 4331 2462
146,4286 4308 4361 4234 4400 4331 4408 4219 1958 4235
147,1966 4400 4387 4219 4361 2865 2866 2646 2696 4440
148,3844 2696 4406 1966 2865 4400 4361 2646 4403 2866
149,1966 2865 4400 2696 4361 1958 2646 4219 4234 4384
150,4445 2049 4229 3563 4506 3400 4138 4437 2038 4355
151,4400 4403 1966 4361 4407 2865 2408 4219 3006 4234
152,4387 2943 4308 4361 4219 4400 4396 2696 2521 4403
153,1907 4328 4286 1909 4234 3467 4396 4308 4532 4460
154,3436 4286 1907 1909 4328 4234 4532 4308 4396 3209
155,4403 4400 2408 4407 4308 4361 3209 4234 1909 2831
156,2696 4400 2865 2521 2866 4403 4234 4407 2944 4308
157,2696 1966 4440 2866 4400 2894 2886 2831 2865 4371
158,2698 4214 4204 4308 1951 4366 4329 4234 4445 4532
159,2865 1966 4400 2943 2696 3470 3078 2866 4361 1958
160,4234 4328 1909 4517 3751 4516 2215 4386 3419 4313
161,2665 4214 4398 3553 2696 2698 4308 4361 4363 4269
162,2696 2865 1966 3470 4384 2698 4234 4440 4431 4406
163,4234 4308 2918 4320 2698 2171 4367 4218 2232 4331
164,4400 2696 4109 2857 4234 4361 2865 4205 4407 1966
165,3078 1966 4406 2646 3470 4219 4361 4400 4389 2696
166,4236 4216 2698 4357 2267 4234 4214 4362 4447 4218
167,4400 2865 2646 4219 2696 4234 4532 1966 4408 2408
168,1951 2698 4361 4366 4214 4286 4234 2172 4113 4204
169,2696 4400 2865 4361 1966 4532 4219 2698 4406 4234
170,4400 3844 2696 4406 4361 1958 4387 4308 4219 4504
171,2696 1966 4219 2942 4008 4234 4400 2220 4361 4218
172,2646 4219 4207 4361 2962 4308 4371 4339 4384 3536
173,2696 2203 2157 3128 4440 2204 3932 3643 2886 2196
174,4403 1907 4400 1909 2831 4214 4361 4387 2408 4308
175,4209 4451 4438 4214 2450 2698 4290 4227 3314 2295
176,4389 4219 2646 4361 4331 4308 4400 2962 4387 2943
177,4308 4361 4214 4532 2962 2698 4400 2943 4234 4362
178,4214 4320 2698 4361 2232 4532 2902 4451 4308 1951
179,4423 4318 4364 4220 2914 4401 4232 4207 2917 4372
180,4219 2646 4387 4400 4408 2408 4344 4245 4308 2962
181,4387 4308 4219 4285 4408 4363 4361 4375 2646 4205
182,2646 4219 1909 2962 4009 2408 4361 3055 4531 1923
183,2698 4451 4214 4234 2919 4308 4445 4286 3861 4320
184,2696 3844 4406 1966 4400 2865 4361 2646 2866 4403
185,4320 4214 3469 1951 2962 2911 2232 4301 2902 4235
186,3254 4319 2220 2942 2923 2698 4424 4440 4320 4388
187,2865 4400 4403 1966 2696 2831 2646 4407 4308 4532
188,4361 4400 2696 4308 4234 2962 4406 4408 4384 2831
189,4400 4403 2696 2865 4219 1966 4234 4308 4408 2831
190,4204 3580 2095 4006 1951 3844 4373 4361 4276 3467
191,4532 1951 4214 3743 4234 4045 4320 4367 2408 4204
192,1909 3419 2521 4009 4396 2944 1918 3843 2962 4361
193,4403 4361 4308 4400 4331 3149 1966 4387 4234 4219
194,4286 3467 4532 4407 1951 2698 2408 3209 4214 4234
195,4214 4424 4395 3026 4423 2646 4219 2696 4235 2105
196,4387 4532 4219 2408 3149 2865 2943 4407 1918 4400
197,4219 2962 4361 2943 2646 3536 3078 4389 4384 4308
198,2902 4320 4214 2232 2911 1951 4532 3128 4301 3469
199,3844 4406 4361 2696 2646 1909 2865 4219 4308 2037
200,4400 2696 1966 3470 2865 2866 4219 4440 4403 4361
201,2696 4400 4387 4366 4367 2831 4219 2698 2061 4234
202,2943 4219 4396 2646 4308 3149 4361 4205 1901 4389
203,1966 2696 2865 4400 2866 2944 2943 4219 4387 4440
204,4234 4308 4286 4400 4328 1909 4331 4219 2646 4366
205,2943 4361 2696 4214 3078 4384 4234 2865 4400 2962
206,4308 2698 4403 4361 1901 4234 4396 3149 1909 4366
207,3026 4214 4395 4424 4219 2646 4389 2943 4364 4308
208,4387 4219 4400 4403 2943 4361 2408 2696 1909 4308
209,4361 4204 2866 4331 4532 1951 4234 4214 2698 4408
210,4361 4234 2964 4219 4384 4406 4329 3470 4331 2962
211,1966 4400 2646 3149 4219 4406 2696 4331 4361 2962
212,4234 4286 4214 2698 4045 4366 4308 2918 1907 4328
213,4440 4219 2646 4361 3565 4384 4400 4408 4257 1966
214,3567 4214 2696 4509 4424 4395 4400 3026 1966 2886
215,3419 4234 4358 4396 4286 4328 1909 4400 2511 4219
216,4423 4364 2968 4363 2695 4321 4429 4372 2255 4433
217,2698 4214 4366 4308 4400 4219 4460 4290 4227 4276
218,4403 2521 2944 4387 4009 4400 1909 4406 1923 2408
219,4205 4308 4396 1901 2943 3149 2171 2450 4202 1918
220,4440 2696 2220 3128 4389 4202 2663 4388 4371 4375
221,4396 4205 2943 4219 3149 4387 4308 4361 4440 4375
222,1907 4286 4532 4214 2698 4328 3467 4396 4234 2962
223,2646 4308 4219 2962 3149 4387 4257 4361 4303 2408
224,4400 4532 2831 1966 2696 4408 4308 3078 4401 3056
225,4361 4364 4387 4234 4531 4371 4202 4308 4309 3777
226,4364 4401 4015 4371 2908 3932 4240 2204 4220 3777
227,3436 1907 4286 1909 3168 1918 3467 4328 4396 4234
228,2696 4400 4361 2865 1966 3844 4403 4406 4532 4219
229,4387 4219 4400 1966 1958 2646 4308 2865 4361 2408
230,2696 4400 2061 4234 4361 4366 2698 4219 4387 4308
231,4286 2962 1907 4400 4308 4328 4234 4214 4219 4338
232,4387 2944 1966 4400 3168 2408 2865 4403 4532 2521
233,4532 2943 3359 2698 1901 4214 3563 2791 4361 2038
234,4387 4308 1909 4403 4331 4361 4396 2962 3149 4219
235,2521 2962 4219 4361 4532 4400 2696 2865 4214 4387
236,4400 4403 4361 1966 4308 2696 2865 4234 4408 2521
237,3265 1918 3786 4346 1909 4258 4361 4294 4344 4362
238,1909 4308 2962 4286 4321 4436 2698 2521 4234 4400
239,4232 4423 4364 3536 4220 2937 4377 4347 3930 4318
240,4361 2962 4408 4045 4234 4396 4387 2918 4308 4338
241,4286 4219 2962 4328 4361 4308 4433 4331 4396 1909
242,4234 4219 4356 4435 1923 4214 1899 4009 4408 2698
243,4406 3844 4361 2865 4234 4082 4257 3972 2602 2962
244,2698 2962 4234 4308 4361 4532 1951 4409 4302 4214
245,4387 4400 4361 2696 4219 1909 2646 4532 4257 4285
246,2696 4400 2865 1966 4361 4219 4532 4387 2521 4406
247,4219 2646 2037 2521 4406 2865 2943 4361 2696 2962
248,2695 2663 4202 3128 2968 4257 4321 2046 4383 4436
249,3470 3078 1966 2696 4219 2646 4400 3567 4384 4509
250,1951 4308 4214 2962 2698 4361 4234 4286 4219 4331
251,4400 3078 2698 3470 4214 2696 4219 4308 4361 4408
252,2696 2886 2220 4440 3254 4361 4214 2894 2698 4371
253,4234 4362 4396 4329 4328 4308 4361 4045 1909 4400
254,4304 4361 4320 4214 2911 4381 4204 4319 2902 4321
255,1918 4329 2968 2663 1836 1909 2794 1837 4223 2661
256,4400 2865 4403 2696 1966 4407 4532 4361 3078 2943
257,4126 4369 4523 4220 4505 4296 4351 4186 4267 3860
258,4331 4234 4361 4308 4153 4050 4446 3561 4424 4384
259,4400 2865 4308 4219 4361 4403 4532 4387 3078 4384
260,1951 4286 2698 4234 4532 3467 4361 4366 4214 3861
261,4400 1909 2408 4407 4387 2521 4403 2944 4408 4234
262,4361 2646 2943 4286 4234 4214 2698 2408 4408 1951
263,2887 4243 2953 4375 3858 1980 4518 4328 4530 4385
264,4309 2831 2674 4332 4523 3793 1889 3790 4520 2521
265,2866 1966 4387 2696 2408 2865 4400 4407 4403 4219
266,2698 4451 4214 4366 4361 4308 4290 4227 4219 4400
267,4400 1966 4532 4361 2698 4403 4214 2962 2831 4308
268,4234 4446 4134 4331 4424 4362 4308 4328 4396 4400
269,4308 2698 4361 4214 4366 4219 4111 4400 4227 4234
270,4361 4320 4234 2962 4214 2675 4319 2646 4317 2698
271,4286 1907 4234 4328 4396 4400 4385 4308 4519 4453
272,2865 4400 1966 4532 2521 4219 2696 2646 1958 4440
273,4532 1951 2962 4366 3467 4214 4234 4153 4050 4278
274,4396 4205 1901 4387 3149 4356 4435 4234 1909 4433
275,2646 4219 4361 4384 4440 2037 4308 4406 2696 4233
276,2696 4400 4219 4387 4308 4361 4532 4234 3470 2962
277,4008 4451 2405 2698 4304 4290 4227 4214 4207 4218
278,3436 4286 1907 4532 4328 4308 4234 4396 4009 4407
279,1907 4286 3436 4396 4328 2408 3419 1909 2511 1954
280,2511 4358 4387 4219 4361 4234 4329 4408 4259 4300
281,2943 3536 3777 3595 4297 2171 4361 4260 4445 2405
282,4219 4308 4361 4400 2646 4214 2962 4384 4366 4234
283,4446 4331 3265 4234 4362 4219 4329 2245 4424 4308
284,2968 2663 2895 3932 2794 2204 2203 4008 4329 2695
285,4308 4307 4234 4214 2698 4286 4451 2962 4400 4361
286,4308 1909 4234 4286 1907 4361 4328 4396 2962 4111
287,4383 2295 4229 4438 4224 4360 3734 4256 2155 4422
288,2948 3643 3128 2795 2538 3265 2962 3536 4397 2695
289,4361 4308 2962 1909 4331 4387 2943 4408 4234 2646
290,4234 4219 4308 1951 2962 4204 4361 4153 4050 4045
291,2408 4387 2943 1966 2696 4403 4219 1958 4400 2521
292,4361 4400 4389 2696 1966 4532 2865 4214 4384 4308
293,4219 4389 2646 1966 2962 4361 4331 4384 4214 3565
294,1966 4403 4424 4407 2865 4400 4214 4387 2408 4395
295,4400 2696 2865 2964 4219 4408 1966 4361 2962 4234
296,4234 2962 4219 4214 4445 4308 4319 4286 4361 4320
297,4396 4331 4387 4219 2943 4234 3149 4308 4205 4361
298,4406 3844 2696 2037 2964 2865 4361 4219 2646 1966
299,2943 3470 4406 2037 3078 1966 2696 4219 4384 4361
300,4387 4234 2962 4308 4408 4396 1909 4219 4531 2408
301,4331 1909 2944 2646 2521 3168 4214 3843 4440 4219
302,4374 2968 4354 2695 3525 4316 2953 4375 2156 4266
303,4286 4328 1907 1918 3168 4396 3843 2944 4400 2802
304,2646 3015 4528 4322 4234 4219 4409 4302 4010 4301
305,2695 4433 4367 4249 4431 4296 4308 2061 3056 4214
306,4234 1954 2962 1923 4009 4219 2511 4361 4321 4436
307,4239 3784 4328 4307 4266 4311 4180 4303 4375 4202
308,1951 2962 4234 4286 2698 2551 1899 4331 3861 4320
309,2203 4440 2220 3932 2204 4202 4329 2663 4375 2968
310,2251 4532 4265 4388 2948 3128 4214 4377 4391 2698
311,1966 2865 4400 4407 2646 1909 4219 4403 4234 2886
312,4308 2943 1901 4362 4234 2698 4396 4361 4050 4045
313,4234 1951 4308 4045 2962 4362 4153 4050 4219 2964
314,4396 1899 4308 4219 4234 4214 3088 4408 1909 4362
315,1951 4214 4234 4320 2962 4286 4219 2646 4308 2232
316,2831 4331 4396 4400 4234 4219 4408 4308 4387 4502
317,4308 1901 4234 4286 1907 4400 1909 1918 4366 4328
318,1966 4387 2865 3149 2646 4219 4400 4257 4285 4361
319,4331 4286 4234 2408 4532 3565 4366 4320 4362 2964
320,4406 4384 4219 3470 2646 4233 4361 1966 4333 4313
321,3436 4286 1907 4328 3419 4396 3209 1909 1918 4308
322,3843 4265 2831 1909 4391 4098 4344 2521 4245 4110
323,1966 2866 4400 2865 4219 2646 2886 4331 3078 2831
324,2865 1966 4400 2521 4219 1958 4387 4308 2408 1907
325,1966 2943 2865 2866 4400 2831 4234 4502 4219 4331
326,3436 1907 4286 4308 4370 4234 1909 4532 2962 3467
327,2646 4219 4308 4361 4331 2943 2521 2962 4234 4233
328,1909 4308 1923 4009 2646 2408 4358 4219 4234 4408
329,4400 1966 4387 2696 2831 4219 2408 2646 4408 2962
330,1951 2962 4308 4214 4219 2646 4286 4532 4361 1909
331,4219 2646 2220 4308 4384 2962 4218 4361 4310 2696
332,4219 4234 2964 2646 4361 2698 4308 4451 4445 2962
333,1951 4361 4308 4214 2698 2902 4320 4321 2232 2962
334,2698 4214 4308 4400 4366 4451 4219 4234 4408 2696
335,1899 4366 4308 1901 4202 4532 3128 4234 4375 4396
336,4308 4328 4396 4387 4400 4286 4219 3088 4446 2889
337,4361 2831 4219 4308 4403 4331 4234 4400 4406 4387
338,4308 4395 4424 4204 4302 4331 4362 4367 2511 4309
339,4214 2962 4308 2698 4219 4361 4234 4400 4204 4451
340,4375 2696 4383 4249 4445 4222 4438 4296 4218 3863
341,4387 4403 4407 4400 2408 2696 2865 1966 2944 4219
342,4045 4153 4050 4366 4204 4364 4361 4371 4307 3780
343,4219 2646 4214 2831 4400 2962 2521 4308 4361 4387
344,4446 4219 4331 2646 4234 4153 4389 2964 2962 4361
345,4219 4361 2646 4400 4308 4331 2943 1966 3078 4214
346,4291 3844 3168 4445 2253 4418 2663 3209 4406 4432
347,4400 4361 4219 4308 4234 1966 4384 4403 4408 3470
348,4387 1909 4219 4389 4440 4308 4395 4205 2521 4009
349,2943 2646 4219 3078 2866 4389 3470 3169 4440 2696
350,2865 2696 1966 4400 2866 3470 4406 3567 4403 3844
351,4400 4361 4308 4532 1966 4234 4408 2646 4219 4012
352,4445 4219 4234 4400 2698 4214 4308 4451 2964 2696
353,2062 4110 4411 3261 2060 4205 3147 4404 4419 2857
354,1899 2198 4375 4249 4296 4388 1909 4354 2244 2670
355,2962 4400 4219 4532 4387 4214 2646 4361 4397 4407
356,4234 4362 1909 1918 4286 4328 4308 4396 1910 2964
357,4219 4234 2646 4358 4308 4361 4286 4408 1899 3564
358,4387 1909 4361 4532 4219 4308 4400 2646 2962 4214
359,4400 2865 4403 4219 1966 2521 2831 4407 2408 4387
360,2698 4367 4320 4219 4321 4234 4436 4364 4423 4308
361,1918 1909 3553 4398 4214 2698 4363 2665 4269 1958
362,4400 4361 4366 4045 4313 4234 2964 4308 4367 4408
363,1966 2865 4400 2696 3567 4406 3844 4361 3689 3470
364,1907 4328 4361 4400 4308 3436 4234 4399 4396 1909
365,2910 2890 2663 2415 3482 3780 4287 3552 2795 2156
366,4400 4406 4403 2408 4234 2962 4308 4407 4219 2865
367,3470 4384 4219 2646 1966 3078 3077 2696 4361 4406
368,2698 4308 1910 4361 4214 4331 4234 4387 3088 1909
369,4328 4234 4331 4362 1899 4050 1910 4308 4153 4045
370,1951 2698 4286 4214 4006 4234 4045 4362 4204 4532
371,2695 3128 4445 4209 4178 4422 4229 4451 2663 2922
372,3419 1918 1909 2408 1954 4362 4396 3088 2511 4204
373,4153 4050 4308 4331 4234 4424 4446 4395 4361 4309
374,4400 4308 4532 4219 4214 4361 4234 2646 4408 2964
375,3467 3168 4214 4320 2944 3843 2902 1951 4532 2232
376,1966 2865 4400 2696 4219 2866 4403 2646 4532 4406
377,2646 4219 2962 4214 4384 2865 4502 2831 4361 4532
378,3265 4234 4362 4153 4045 4050 3467 4214 4308 4396
379,2865 4440 2696 4519 4361 4453 2943 4385 4384 3567
380,4403 4400 4361 2696 1966 2865 2831 2943 2866 4219
381,4400 4406 2696 2037 4361 4440 3844 4403 4408 2646
382,3419 1909 4396 2191 2408 4286 1907 2454 2717 2511
383,4433 3862 4243 4365 4269 2968 4257 4203 4370 4347
384,4234 4331 4219 3467 4532 4045 4286 4153 4133 4050
385,1951 4532 2232 4214 4320 4219 3467 2911 4361 2902
386,2696 3470 3078 4400 4219 2646 2865 4440 1966 3400
387,4532 4286 4234 4308 3467 3168 4403 4396 1951 4361
388,2646 2943 4361 4219 4331 4308 4397 4389 4234 4214
389,2698 4308 4361 4400 4214 4219 2962 4234 4331 4204
390,4364 4347 4401 4318 4423 4177 4232 4371 4445 4178
391,4234 2962 4320 4308 2462 4361 2646 4045 4068 4331
392,4234 2646 4331 4308 4328 4286 4219 4361 1910 4400
393,4219 2962 2646 1951 4408 4308 4214 4234 4322 4409
394,2911 4286 1951 2948 4532 2232 4320 4438 4383 4367
395,2220 3128 2942 2696 4337 2217 4373 4276 4440 4310
396,4205 3149 4214 4308 4219 4400 3026 2943 2962 2071
397,4361 1951 4214 4308 4204 4532 2698 2962 2943 4400
398,4454 4424 4528 4108 4395 4520 4351 4331 1842 4523
399,2865 2696 1966 4400 3470 2866 3078 4219 4406 4361
400,4214 3026 4395 4424 4389 4219 2105 2646 4397 4440
401,4400 4403 2831 4387 2408 4407 4408 2964 4234 4219
402,2698 4290 4227 4214 4451 3478 4447 2968 2794 2696
403,2696 4406 3844 1966 2865 4361 4400 2866 2646 3567
404,1966 2696 3470 2865 4400 4219 4406 2646 2866 4361
405,4234 4286 2244 1918 4249 3853 3863 4296 3467 1907
406,2696 4400 4387 4361 2521 2962 4219 2831 4234 3078
407,4234 2698 4214 3436 4532 1899 4286 4328 1901 1907
408,2646 4219 4387 4234 4361 4331 1966 4531 2962 4446
409,4286 4308 4234 1909 1901 2248 1918 4396 4328 4354
410,4331 4308 4361 4234 4403 4366 3467 4334 2698 4204
411,4308 4400 4331 2962 4403 2408 4387 4234 2943 4219
412,4214 3026 4395 2962 4424 2646 4389 4219 4532 1951
413,1909 4328 4134 4400 4396 4234 4308 4362 4517 4516
414,4364 4372 4371 4347 4423 2968 3777 2794 2663 2695
415,4234 4400 4362 1909 4308 2698 4286 4219 4387 2964
416,4400 4440 4361 1966 2696 2944 4387 4408 2646 4219
417,2062 4205 4411 3147 2061 3431 4404 3261 4338 4110
418,4290 4400 4286 4227 4328 4234 1918 4517 1909 4516
419,4400 2696 3470 3078 4384 4308 3209 4219 2962 4406
420,4219 4361 1909 4400 4387 3470 2646 3078 4384 2408
421,2696 4400 2865 4361 1966 4308 2866 4219 4403 2831
422,4387 4396 4308 4331 2408 1954 1909 4257 4219 1958
423,4440 2962 4403 4407 4387 2943 2865 1966 4400 2408
424,4361 4308 4219 4234 4400 4366 4387 2698 4403 2408
425,4532 1901 2943 2698 4331 4361 4308 4214 2408 4234
426,2962 4361 4387 4219 2646 4440 4308 1909 4257 4205
427,4217 4286 4385 4532 4424 1907 4453 4519 4319 4383
428,4331 4153 4234 4050 4361 4424 4362 3561 4400 4395
429,1907 4286 4234 4214 3467 2698 4532 4396 1951 4328
430,4400 4308 4219 1966 4361 2865 4387 4234 1958 2962
431,2696 3844 4406 1966 2865 4400 2866 4403 3567 2037
432,4308 4234 4214 4361 4286 2698 1951 4219 4532 4387
433,4234 4219 4361 2962 2646 4009 4286 2511 4358 1923
434,4396 2408 1909 2962 4387 1918 4219 4407 4358 1923
435,2646 4219 4532 4308 4234 4400 4361 2865 4214 4403
436,4308 4400 4387 2962 4361 1909 1960 4219 4403 4234
437,4387 4361 4219 4400 2696 2962 2646 2865 2831 1909
